Sample,EIMMagnitude,EIMPhase,JointAngle,Mass
3,0.0259504,,34.5949,
3,0.0248562,,34.4555,
3,0.0238501,,34.2925,
3,0.0229305,,34.1039,
3,0.0220917,,33.888,
3,0.0213245,,33.6434,
3,0.0206174,,33.3693,
3,0.0199577,,33.0655,
3,0.0193319,,32.7325,
3,0.0187271,,32.3717,
3,0.0181315,,31.9848,
3,0.0175352,,31.5745,
3,0.0169304,,31.1437,
3,0.016312,,30.6959,
3,0.0156774,,30.2348,
3,0.0150265,,29.7646,
3,0.0143616,,29.2896,
3,0.0136866,,28.8146,
3,0.0130072,,28.3441,
3,0.01233,,27.8833,
3,0.0116618,,27.4368,
3,0.0110099,,27.0095,
3,0.0103808,,26.6055,
3,0.00978038,,26.2288,
3,0.00921367,,25.8825,
3,0.0086844,,25.5688,
3,0.00819514,,25.2891,
3,0.00774724,,25.0439,
3,0.00734093,,24.8324,
3,0.00697544,,24.6531,
3,0.0066492,,24.5035,
3,0.00635997,,24.3806,
3,0.0061051,,24.2805,
3,0.00588167,,24.1991,
3,0.00568663,,24.1319,
3,0.00551698,,24.0742,
3,0.00536985,,24.0216,
3,0.00524258,,23.9695,
3,0.00513274,,23.914,
3,0.00503816,,23.8514,
3,0.00495695,,23.7785,
3,0.00488746,,23.6929,
3,0.00482824,,23.5929,
3,0.00477805,,23.4776,
3,0.00473576,,23.347,
3,0.0047004,,23.202,
3,0.00467106,,23.0441,
3,0.00464689,,22.876,
3,0.0046271,,22.7005,
3,0.00461092,,22.5211,
3,0.00459761,,22.3415,
3,0.00458645,,22.1654,
3,0.00457675,,21.996,
3,0.00456784,,21.8363,
3,0.00455909,,21.6887,
3,0.00454991,,21.5549,
3,0.00453976,,21.4362,
3,0.00452815,,21.3329,
3,0.00451467,,21.2451,
3,0.00449899,,21.1722,
3,0.00448083,,21.1134,
3,0.00446002,,21.0675,
3,0.00443648,,21.0331,
3,0.00441019,,21.0089,
3,0.00438124,,20.9932,
3,0.0043498,,20.9848,
3,0.00431611,,20.9821,
3,0.00428046,,20.984,
3,0.00424322,,20.9892,
3,0.00420478,,20.9969,
3,0.00416557,,21.0061,
3,0.00412605,,21.0162,
3,0.00408665,,21.0266,
3,0.00404781,,21.0369,
3,0.00400994,,21.0467,
3,0.00397343,,21.0558,
3,0.00393861,,21.0641,
3,0.00390579,,21.0714,
3,0.00387523,,21.0778,
3,0.00384715,,21.0833,
3,0.00382173,,21.0878,
3,0.00379909,,21.0915,
3,0.00377934,,21.0945,
3,0.00376257,,21.0967,
3,0.00374882,,21.0984,
3,0.00373813,,21.0996,
3,0.00373053,,21.1003,
3,0.00372602,,21.1008,
4,0.114814,,20.5577,
4,0.119252,,20.668,
4,0.12365,,20.7954,
4,0.128053,,20.9396,
4,0.132523,,21.1002,
4,0.137132,,21.276,
4,0.141966,,21.4655,
4,0.147118,,21.6668,
4,0.152687,,21.878,
4,0.158771,,22.0971,
4,0.165462,,22.3223,
4,0.172845,,22.5519,
4,0.18099,,22.7846,
4,0.189949,,23.0198,
4,0.199749,,23.2568,
4,0.210394,,23.4953,
4,0.221857,,23.7351,
4,0.234082,,23.9759,
4,0.246984,,24.2171,
4,0.260444,,24.4576,
4,0.274318,,24.6961,
4,0.288435,,24.9304,
4,0.302605,,25.1579,
4,0.316619,,25.3755,
4,0.33026,,25.5798,
4,0.343307,,25.7672,
4,0.355541,,25.9341,
4,0.366755,,26.0771,
4,0.376757,,26.193,
4,0.38538,,26.2792,
4,0.392486,,26.3334,
4,0.397972,,26.354,
4,0.401771,,26.3395,
4,0.403858,,26.2894,
4,0.404246,,26.2033,
4,0.402991,,26.0814,
4,0.400184,,25.924,
4,0.39595,,25.7317,
4,0.390446,,25.5054,
4,0.383847,,25.2456,
4,0.37635,,24.9528,
4,0.368156,,24.6274,
4,0.359472,,24.269,
4,0.350501,,23.8774,
4,0.341432,,23.4517,
4,0.33244,,22.9911,
4,0.323679,,22.4947,
4,0.315277,,21.9619,
4,0.307338,,21.3926,
4,0.299934,,20.7871,
4,0.293114,,20.1465,
4,0.286895,,19.473,
4,0.281275,,18.7693,
4,0.276226,,18.0395,
4,0.271703,,17.2887,
4,0.267648,,16.5231,
4,0.263991,,15.75,
4,0.260659,,14.9783,
4,0.257574,,14.2177,
4,0.254665,,13.4791,
4,0.251863,,12.7744,
4,0.249111,,12.1159,
4,0.246362,,11.5162,
4,0.243582,,10.9874,
4,0.240752,,10.5412,
4,0.237868,,10.1879,
4,0.234936,,9.93608,
4,0.231978,,9.79262,
4,0.229026,,9.76196,
4,0.226117,,9.84622,
4,0.223297,,10.0451,
4,0.220614,,10.3559,
4,0.218114,,10.7738,
4,0.215841,,11.2921,
4,0.213835,,11.9027,
4,0.212127,,12.5963,
4,0.210739,,13.3633,
4,0.209682,,14.1937,
4,0.208958,,15.078,
4,0.208555,,16.0076,
4,0.208454,,16.9743,
4,0.208624,,17.9714,
4,0.209028,,18.993,
4,0.209619,,20.0342,
4,0.21035,,21.0907,
4,0.211168,,22.159,
4,0.21202,,23.2354,
4,0.212855,,24.3166,
4,0.213623,,25.3989,
4,0.214281,,26.4781,
4,0.214787,,27.5501,
4,0.215109,,28.6101,
4,0.215218,,29.6535,
4,0.215093,,30.6756,
5,0.215093,,30.6756,
5,0.214721,,31.6721,
5,0.214092,,32.6392,
