"freq_1", "freq_2", "freq_3", "freq_4", "freq_5", "freq_6", "freq_7", "freq_8", "freq_9", "freq_10", "freq_11", "freq_12", "freq_13", "freq_14", "freq_15"
24.2782,76.1573,94.5561,70.4608,54.1747,48.6852,42.6128,40.6718,40.6173,44.4267,52.512,51.533,40.1217,32.8234,31.2434
24.1359,79.2545,107.583,88.9875,63.9055,50.7928,48.4018,46.8431,40.8762,37.3639,35.1628,32.7677,32.3523,33.076,32.6632
10.9507,39.3455,59.4848,55.0756,44.4089,39.3188,37.5911,37.2761,36.5856,35.6219,35.0266,34.2667,33.1836,32.0136,30.6783
7.3302,26.688,47.1497,57.2963,54.3846,45.7608,40.6244,38.5863,38.6151,39.5341,38.4244,36.1527,34.4844,33.3742,31.8973
4.14323,16.622,35.069,52.5252,57.3632,48.3231,40.4091,39.0847,37.9444,35.8645,35.213,35.3733,34.8037,33.5609,31.6361
3.92713,41.1835,102.932,109.695,64.9038,44.009,46.7438,45.255,41.5684,39.4621,38.4474,36.5933,34.0049,31.9921,30.7499
79.463,249.984,297.875,181.501,89.0077,53.5107,34.217,34.1777,38.0954,38.8737,37.4044,34.3174,32.6851,33.104,32.8106
36.482,124.474,172.076,134.364,84.9969,62.2605,50.3294,42.3742,38.7852,37.664,35.0514,32.0507,31.4881,31.5165,30.499
130.747,412.865,489.552,282.482,117.324,72.3369,59.2719,52.9368,41.8069,36.6479,38.2196,38.2314,35.0801,31.8106,30.6756
15.4013,56.3021,89.0627,88.9441,74.1904,57.7045,42.6299,36.9957,38.7812,39.9888,39.9602,39.1287,35.8915,32.4127,30.9192
20.5104,74.3319,112.763,101.22,71.2237,48.1131,35.9984,35.6213,37.5494,36.6435,35.6296,34.9179,33.7852,32.5732,31.5177
4.10985,17.8065,33.2989,39.3106,40.2033,46.1317,54.3739,51.9344,40.8285,35.8592,36.5955,34.6671,31.4493,30.5627,30.6048
3.76812,19.0735,38.1878,43.2045,39.4921,39.6826,40.0929,38.2514,37.228,37.138,35.6535,32.7832,32.0317,32.7184,31.6482
10.8283,40.3593,65.7543,65.9967,52.9581,44.0323,40.5361,38.3277,37.42,37.826,38.3945,36.9161,33.2621,31.3299,30.9648
30.7827,119.612,186.119,148.842,73.5622,41.8661,41.4282,42.1955,39.4959,36.3288,34.1651,32.6585,31.6816,31.511,31.1899
94.7598,289.386,325.702,172.419,68.9989,52.8853,52.3903,49.8447,42.9771,39.1361,35.9822,34.8271,35.15,33.7363,31.8486
61.8146,194.982,234.064,143.449,70.8849,49.1466,39.0817,36.6682,38.0272,38.4832,37.6839,37.6124,35.8214,33.1501,32.2675
64.2213,211.505,268.007,169.53,72.9809,42.7018,36.8325,37.7576,39.6884,39.8036,39.4589,39.1781,36.7218,33.4384,31.4384
25.8314,84.1273,107.804,75.7282,46.1737,42.704,49.466,49.3284,41.8438,39.1547,38.3594,34.4288,31.176,30.1025,30.0132
29.31,102.645,153.803,137.455,90.348,54.8987,41.4747,38.2048,37.879,39.2236,36.8023,32.9388,31.5419,31.1749,30.4842
15.7446,53.697,76.1997,66.2852,51.1657,41.6412,35.5414,35.6937,37.7788,35.9892,32.6133,31.7449,32.4134,33.0079,32.7442
16.7938,63.7509,106.43,107.432,78.4659,57.3727,57.562,54.8445,42.6125,36.7127,36.1421,35.8467,35.1734,33.1727,31.0996
8.80397,34.3738,57.0541,57.1322,46.3819,40.002,39.116,39.4845,38.4015,37.0134,36.6691,37.5185,37.2295,34.6592,32.5447
6.78615,25.6054,46.9547,58.5718,56.3299,46.6621,39.4133,37.1862,38.1051,38.6583,38.7261,39.2349,37.296,33.8952,31.8359
4.26248,16.8744,32.4388,44.2146,49.7388,48.1338,43.4076,40.4739,39.2448,38.3486,38.4226,38.6695,36.9916,34.61,32.7251
3.87275,54.3804,142.004,149.367,78.2342,42.7149,46.6188,45.8233,39.8206,35.6844,34.9546,35.8428,36.0882,34.6411,32.7613
82.7505,261.331,323.313,220.056,122.536,72.6946,45.6865,39.4423,38.7997,38.0299,36.444,35.579,34.6307,33.6586,32.671
39.1079,135.061,188.932,147.511,86.1903,50.2238,34.2028,32.5486,33.2158,31.5648,31.1524,32.127,32.2277,31.1485,30.0153
72.4949,250.316,340.425,240.294,111.744,55.3369,45.5202,47.7913,41.6729,34.0595,31.9363,32.334,32.668,32.4969,31.4734
14.3086,52.6517,82.9811,82.1066,69.1026,56.0738,44.0549,38.9091,38.5575,36.565,33.6353,33.4389,34.5148,33.916,31.9835
17.3286,67.5707,112.288,110.351,80.4588,52.443,36.8041,34.804,37.6,40.5438,44.3627,43.5223,37.2902,32.6343,31.1221
